abuʃan	abușan
adʒud	adjud
afrika	africa
aɡəʃ	agăș
ajud	aiud
alba	alba
aleksandria	alexandria
aleksandru	alexandru
andora	andorra
andreesku	andreescu
anɡelutsə	angheluță
apostolesku	apostolescu
arde̯al	ardeal
ɑrdʒentina	argentina
ardʒeʃ	argeș
b	b
bakəw	bacău
basarabe̯aska	basarabeasca
bejuʃ	beiuș
belize	belize
berlin	berlin
bihor	bihor
bistritsa	bistrița
blaʒ	blaj
boldeʃtj	boldești
botoʃanj	botoșani
brad	brad
braʃov	brașov
breban	breban
britʃenj	briceni
brəila	brăila
bukureʃtj	bucurești
bulɡarja	bulgaria
bulɡaru	bulgaru
buzojanu	buzoianu
buzəw	buzău
bɨrlad	bârlad
bəileʃtj	băilești
bəltsj	bălți
k	c
tʃ	c
sidi	cd
kahul	cahul
kalafat	calafat
karakal	caracal
karansebeʃ	caransebeș
karej	carei
karintia	carintia
karintja	carintia
katalonia	catalonia
kina	china
kiril	chiril
tʃjukə	ciucă
kluʒ	cluj
kodle̯a	codlea
kodoj	codoi
kolteʃtj	coltești
komrat	comrat
konstantsa	constanța
kosteʃtj	costești
kovasna	covasna
krajova	craiova
kristesku	cristescu
kristian	cristian
kristjan	cristian
kriulenj	criuleni
krətʃjun	crăciun
kupidon	cupidon
kɨmpuluŋɡ	câmpulung
kələraʃj	călărași
d	d
datʃia	dacia
deʒ	dej
deva	deva
dionis	dionis
dolʒ	dolj
dorohoj	dorohoi
drokija	drochia
drəɡəʃanj	drăgășani
dud	dud
dɨmbovitsa	dâmbovița
e	e
je	e
edʒipt	egipt
e̞lve̞tsia	elveția
eurovizion	eurovision
f	f
feteʃtj	fetești
fidʒi	fiji
florentsa	florența
floresku	florescu
floreʃtj	florești
fokʃanj	focșani
frunzə	frunză
fəleʃtj	fălești
fəltitʃenj	fălticeni
dʒ	g
ɡ	g
ɡalatsj	galați
dʒe̯ordʒe	george
dʒermania	germania
dʒjurdʒju	giurgiu
ɡlodenj	glodeni
ɡorʒ	gorj
ɡriɡoresku	grigorescu
ɡriɡoriopol	grigoriopol
ɡwatemala	guatemala
h	h
harɡita	harghita
hristos	hristos
hunedo̯ara	hunedoara
huʃj	huși
hɨntʃeʃtj	hîncești
i	i
j	i
j	i
jakobesku	iacobescu
jalomitsa	ialomița
jalovenj	ialoveni
jaʃj	iași
ilfov	ilfov
joan	ioan
islanda	islanda
italia	italia
ʒ	j
ʒak	jac
ʒune	june
k	k
kuvejt	kuweit
l	l
londra	londra
luɡoʒ	lugoj
lupenj	lupeni
ləməʃanu	lămășanu
m	m
mantʃjuria	manciuria
mane̯a	manea
maŋɡalia	mangalia
maramureʃ	maramureș
marɡita	marghita
marsilja	marsilia
meddʒidia	medgidia
medʒidia	medgidia
mediaʃ	mediaș
mehedintsj	mehedinți
mihəjl̪eʃt̪j	mihăilești
mirtʃe̯a	mircea
mojneʃtj	moinești
morenj	moreni
motru	motru
muntenia	muntenia
mureʃ	mureș
mərkuleʃtj	mărculești
ne̯amts	neamț
neɡresku	negrescu
nikolae	nicolae
nikulete	niculete
nistru	nistru
nistrule	nistrule
o	o
olɡa	olga
olt	olt
oltenitsa	oltenița
oltul	oltul
oneʃtj	onești
orade̯a	oradea
orhej	orhei
orəʃtie	orăștie
orʃova	orșova
p	p
pandora	pandora
paʃkanj	pașcani
petroʃanj	petroșani
pjemont	piemont
piteʃtj	pitești
platon	platon
plojeʃtj	ploiești
prahova	prahova
k	q
r	r
raluka	raluca
rezina	rezina
reʃitsa	reșița
roman	roman
romɨnia	românia
romɨnie	românie
romɨniej	româniei
rusia	rusia
rɨʃkanj	rîșcani
rədəutsj	rădăuți
rəzvanj	răzvani
s	s
salonta	salonta
sebeʃ	sebeș
sibiw	sibiu
siɡiʃo̯ara	sighișoara
simionesku	simionescu
siret	siret
slatina	slatina
slobozia	slobozia
s̪or̪oka	soroca
stiria	stiria
stirja	stiria
strəʃenj	strășeni
sutʃe̯ava	suceava
s̪ɨn̪dʒer̪ei	sîngerei
sətʃele	săcele
səlaʒ	sălaj
t	t
taraklia	taraclia
tekutʃj	tecuci
tele̯aʒen	teleajen
teleneʃtj	telenești
teleorman	teleorman
timiʃ	timiș
timiʃo̯arej	timișoarei
t̪ir̪as̪pol̪	tiraspol
toplitsa	toplița
tultʃe̯a	tulcea
turtʃesku	turcescu
turda	turda
tɨrɡoviʃte	târgoviște
tɨrnəvenj	târnăveni
u	u
uɛrɛsɛs	urss
ukraina	ucraina
ukrajna	ucraina
uŋɡenj	ungheni
v	v
vasluj	vaslui
vrantʃe̯a	vrancea
vɨltʃe̯a	vâlcea
u	w
v	w
w	w
wiktsionar	wikționar
ks	x
ɡz	x
iksulesku	xulescu
i	y
j	y
z	z
