afi	afi
aine	aine
anda	anda
anp	aenepe
arym	aɾim
ate	ate
ave	abe
aarón	aaɾon
ababa	ababa
abadiano	abadjano
abadán	abadan
abadón	abadon
abanto	abanto
abarca	abaɾka
abascal	abaskal
abdiel	abdjel
abdías	abdias
abdón	abdon
abeita	abeita
abel	abel
abelardo	abelaɾdo
abelito	abelito
abellano	abeʝano
abello	abeʝo
abendaño	abendaɲo
abeyta	abeita
abigaíl	abiɡail
abimael	abimael
abisinia	abisinja
abiyán	abiʝan
abjasia	abxasja
abner	abneɾ
aboitiz	aboitiθ
abonce	abonθe
abraham	abɾaam
abraham	abɾam
abrahán	abɾaan
abram	abɾam
abrego	abɾeɡo
abreo	abɾeo
abrigo	abɾiɡo
abruzos	abɾuθos
absalón	absalon
abundio	abundjo
abuya	abuʝa
abúndez	abundeθ
acajutla	akaxutla
acandí	akandi
acapulco	akapulko
acaz	akaθ
acebedo	aθebedo
acebo	aθebo
acedo	aθedo
aceituno	aθeituno
acelhuate	aθelw̝ate
acero	aθeɾo
acevedo	aθebedo
aceves	aθebes
achí	atʃi
aconchi	akontʃi
acorda	akoɾda
acosta	akosta
acra	akɾa
acrópolis	akɾopolis
acuña	akuɲa
ada	ada
adalberto	adalbeɾto
adam	adam
adame	adame
adela	adela
adelaida	adelaida
adelardo	adelaɾdo
adelia	adelja
adelina	adelina
adelio	adeljo
adelita	adelita
adiel	adjel
adigio	adixjo
adiguesia	adiɡesja
adisoda	adisoda
adjuntas	adxuntas
adolfito	adolfito
adolfo	adolfo
adonai	adonai
adri	adɾi
adriana	adɾjana
adriano	adɾjano
adrián	adɾjan
adviento	adbjento
advíncula	adbinkula
adán	adan
adén	aden
aedo	aedo
afanador	afanadoɾ
afganistán	afɡanistan
afrodita	afɾodita
agamenón	aɡamenon
agapito	aɡapito
agar	aɡaɾ
agaña	aɡaɲa
agra	aɡɾa
agramonte	aɡɾamonte
agredano	aɡɾedano
aguachica	aɡwatʃika
aguadas	aɡwadas
aguado	aɡwado
aguas	aɡwas
aguascalientes	aɡwaskaljentes
aguayo	aɡwaʝo
aguiar	aɡjaɾ
aguilar	aɡilaɾ
aguilares	aɡilaɾes
aguilera	aɡileɾa
aguillón	aɡiʝon
aguiluz	aɡiluθ
aguinaga	aɡinaɡa
aguinaldo	aɡinaldo
aguirre	aɡire
agundo	aɡundo
agustina	aɡustina
agustín	aɡustin
aguón	aɡwon
agún	aɡun
agúndez	aɡundeθ
agüero	aɡweɾo
ahuachapán	awatʃapan
ahumada	aumada
aija	aixa
aimar	aimaɾ
ainara	ainaɾa
ainhoa	ainoa
aipe	aipe
aispuro	aispuɾo
aitana	aitana
aitor	aitoɾ
aión	ajon
ajanel	axanel
ajijic	axixik
akenatón	akenaton
akinetón	akineton
alabama	alabama
alajuela	alaxwela
alamilla	alamiʝa
alamillo	alamiʝo
alarcón	alaɾkon
alaska	alaska
alatorre	alatore
alavez	alabeθ
alayón	alaʝon
alba	alba
albacete	albaθete
albania	albanja
albano	albano
albarracín	albaraθin
albarrán	albaran
alberta	albeɾta
alberto	albeɾto
albina	albina
albir	albiɾ
albireo	albiɾeo
albornoz	alboɾnoθ
albuquerque	albukeɾke
alburquerque	albuɾkeɾke
albíter	albiteɾ
alcaide	alkaide
alcalde	alkalde
alcalá	alkala
alcaraz	alkaɾaθ
alcatraz	alkatɾaθ
alcauter	alkauteɾ
alcira	alθiɾa
alcmena	alɡmena
alcocer	alkoθeɾ
alcorcón	alkoɾkon
alcorán	alkoɾan
alcoser	alkoseɾ
